# XPP simulation output
# Generated by xppnautplot
time,voltage,current,power
0.000,0.1254,1.2266,0.1538
0.100,2.9094,0.9846,2.8647
0.200,4.8675,0.3518,1.7122
0.300,4.7571,-0.4493,-2.1374
0.400,2.8745,-0.9693,-2.7862
0.500,-0.0078,-1.2054,0.0094
0.600,-3.0105,-1.0423,3.1378
0.700,-4.7982,-0.3051,1.4640
0.800,-4.7677,0.3521,-1.6789
0.900,-3.0201,0.9738,-2.9411
1.000,0.1612,1.2025,0.1938
1.100,3.0557,0.9436,2.8835
1.200,4.6242,0.3604,1.6666
1.300,4.5146,-0.3812,-1.7208
1.400,2.9945,-0.9330,-2.7938
1.500,0.0196,-1.2410,-0.0244
1.600,-3.0842,-1.0126,3.1230
1.700,-4.6501,-0.3268,1.5198
1.800,-4.6608,0.4357,-2.0307
1.900,-3.0237,1.0214,-3.0883
2.000,-0.0320,1.1066,-0.0355
2.100,2.7798,0.9672,2.6887
2.200,4.7736,0.3655,1.7449
2.300,4.7856,-0.3059,-1.4638
2.400,2.6994,-0.8416,-2.2717
2.500,-0.1332,-1.1658,0.1553
2.600,-3.0780,-0.9708,2.9882
2.700,-4.8284,-0.2559,1.2358
2.800,-4.7065,0.3214,-1.5129
2.900,-2.9774,1.0091,-3.0044
3.000,-0.0414,1.2370,-0.0512
3.100,2.9595,0.9906,2.9316
3.200,4.8472,0.4211,2.0410
3.300,4.7341,-0.3559,-1.6849
3.400,2.9963,-0.9791,-2.9337
3.500,0.0463,-1.1357,-0.0526
3.600,-3.0496,-0.9284,2.8313
3.700,-4.8535,-0.3275,1.5893
3.800,-4.7560,0.4522,-2.1509
3.900,-2.9924,0.8452,-2.5292
4.000,0.0248,1.2928,0.0321
4.100,2.8338,0.9157,2.5950
4.200,4.7235,0.3584,1.6931
4.300,4.7299,-0.3784,-1.7899
4.400,2.8486,-0.9764,-2.7814
4.500,0.1822,-1.1874,-0.2163
4.600,-3.1028,-0.9240,2.8669
4.700,-4.6993,-0.3862,1.8151
4.800,-4.7267,0.3607,-1.7049
4.900,-2.9889,0.9010,-2.6931
