## Tabular data with tabs
x	y1	y2	y3
0	0		0.0000
1	1	1.0	0.6931
2	4	2.8284271247461903	1.0986
3	9	5.196152422706632	1.3863
4	16	8.0	1.6094
5	25	11.180339887498949	1.7918
6	36	14.696938456699069	1.9459
7	49		2.0794
8	64	22.627416997969522	2.1972
9	81	27.0	2.3026
10	100	31.622776601683793	2.3979
11	121	36.4828726939094	2.4849
12	144	41.569219381653056	2.5649
13	169	46.87216658103186	2.6391
14	196		2.7081
15	225	58.09475019311125	2.7726
16	256	64.0	2.8332
17	289	70.09279563550022	2.8904
18	324	76.36753236814714	2.9444
19	361	82.8190799272728	2.9957
20	400	89.44271909999159	3.0445
21	441		3.0910
22	484	103.18914671611545	3.1355
23	529	110.30412503619254	3.1781
24	576	117.57550765359255	3.2189
25	625	125.0	3.2581
26	676	132.5745073534124	3.2958
27	729	140.29611541307906	3.3322
28	784		3.3673
29	841	156.16977940690063	3.4012
